应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
凤凰卫视精华版,手机和平板,影视与直播,2025/08/24,北京天盈九州网络技术有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ifeng.tvclassic.hmos&channelId=SHARE
车牌管家,手机(平板可下载),工具,2025/08/24,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shengluo.slcarmanagerhos&channelId=SHARE
文本工具箱,手机(平板可下载),工具,2025/08/24,惠州市速点科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.sdtextboxhos&channelId=SHARE
极速设置,手机(平板可下载),工具,2025/08/24,惠州市速点科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.sdfastsethos&channelId=SHARE
F收纳,手机(平板可下载),工具,2025/08/24,陈银,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.eachfofo.focollection&channelId=SHARE
文字提取相机,手机(平板可下载),工具,2025/08/24,中山市柒幺柒智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiyaoqi.badocrcamerahos&channelId=SHARE
科学计算器全能版,手机和平板,工具,2025/08/24,广州洋海网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ocnet.hm.cjkxjsq&channelId=SHARE
朝夕衣橱,手机(平板可下载),工具,2025/08/23,厦门易推网络有限公司,08/30新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ytpm.zxyc&channelId=SHARE
学达优1对1,手机和平板,教育,2025/08/23,上海学达优科技发展有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xuedau.hos.xuedaulearner&channelId=SHARE
个税退税汇算,手机(平板可下载),工具,2025/08/23,南京梵初科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fanchu.checkhm&channelId=SHARE
Linux学习指南,手机和平板,工具,2025/08/23,南昌凌侠科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.authbox.linux_command&channelId=SHARE
轻译英语,手机和平板,教育,2025/08/23,赖青云,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.qydictionary&channelId=SHARE
天眼卫星地图,手机和平板,出行导航,2025/08/23,深圳市行云流水科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.Mpersonal_hm.skyeyemap&channelId=SHARE
宝宝学拼音启蒙,手机(平板可下载),儿童,2025/08/23,广州拓辰信息技术有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.wordtiger.pingyinQM.toh&channelId=SHARE
柑橘RSS阅读器,手机、平板和电脑,工具,2025/08/23,程文智,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.citrusreader.rssreader&channelId=SHARE
樱花斩,手机和平板,教育,2025/08/23,广州市九二网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=waiyu.sakura.com&channelId=SHARE
文言文翻译字典,手机和平板,教育,2025/08/23,武汉柒号教室科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.wenyanwenfanyi&channelId=SHARE
视唱练耳,手机和平板,音乐,2025/08/23,武汉柒号教室科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.shichanglianerhm&channelId=SHARE
宝宝涂色学颜色,手机(平板可下载),儿童,2025/08/23,广州米众信息科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.songbei.tuseColor.moh&channelId=SHARE
延长云享,手机、平板和电脑,商务,2025/08/23,陕西延长石油数智科技有限责任公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ycpc.hm&channelId=SHARE
懂流帝,手机和平板,生活服务,2025/08/23,浙江楷讯之名科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dongliudi.hm&channelId=SHARE
头像吧,手机和平板,艺术与设计,2025/08/23,南昌乐时科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=harmonylstxb.leshi168.com&channelId=SHARE
食之健康,手机和平板,运动健康,2025/08/23,杨权柱,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yang.jiankang&channelId=SHARE
慧读宝鉴,手机和平板,资讯,2025/08/23,九天云（陕西）科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.atomicservice.5765880207856031185&channelId=SHARE
录屏截图专家,手机(平板可下载),工具,2025/08/23,中山市星朗网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xinglang.shcutandrecordhos&channelId=SHARE
桌面记事本,手机(平板可下载),工具,2025/08/23,中山市星朗网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shnew.shhomenotehos&channelId=SHARE
自动连播器,手机(平板可下载),工具,2025/08/23,中山市星朗网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xinglang.shautoplayhos&channelId=SHARE
手持车牌识别仪,手机(平板可下载),工具,2025/08/23,中山市星朗网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xinglang.shhandcarsyshos&channelId=SHARE
秒杀提醒工具,手机(平板可下载),工具,2025/08/23,惠州市小奕智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiaoyi.xybuytoolhos&channelId=SHARE
装修计算器,手机(平板可下载),工具,2025/08/23,惠州市小奕智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiaoyi.xyworkcounterhos&channelId=SHARE
扫码出入库管理,手机(平板可下载),商务,2025/08/23,惠州市小奕智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiaoyi.xyscaninputhos&channelId=SHARE
批量识别文字,手机(平板可下载),工具,2025/08/23,惠州市小奕智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiaoyi.xylistocrhos&channelId=SHARE
正则表达式助手,手机(平板可下载),工具,2025/08/23,惠州市小奕智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiaoyi.xyregexhos&channelId=SHARE
Frontier计算机,手机(平板可下载),工具,2025/08/23,南京兮晏科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fanchu.jisuanqihm&channelId=SHARE
懒猫翻页器,手机(平板可下载),工具,2025/08/23,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shegnluo.slreadtoolhos&channelId=SHARE
日程提醒管家,手机(平板可下载),工具,2025/08/23,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shengluo.sltodolisthos&channelId=SHARE
摇一摇精灵,手机(平板可下载),工具,2025/08/23,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shengluo.slsmartshakehos&channelId=SHARE
九宫格盲图,手机(平板可下载),工具,2025/08/23,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.nineblind_diagramhos&channelId=SHARE
中青旅商旅,手机和平板,旅游,2025/08/23,中青旅（北京）商务旅游有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cytsbiz.hongmeng&channelId=SHARE
发票扫描查验,手机和平板,金融理财,2025/08/23,运城市盐湖区沧海网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sxcanghai.invoice.hm&channelId=SHARE
修心木鱼,手机(平板可下载),工具,2025/08/23,东莞达浪云信息科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hjj.xxmuyuHm&channelId=SHARE
悬浮词库,手机(平板可下载),工具,2025/08/23,惠州市速点科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.sdfloattextlibhos&channelId=SHARE
爆痘记事本,手机(平板可下载),效率,2025/08/23,广州市嘉妮软件有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jianisoft.baodoujishiben&channelId=SHARE
乒乓球友通,手机和平板,效率,2025/08/23,广州光芸科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gyuntech.pingpangsuanzhangbao&channelId=SHARE
清史数据库,手机(平板可下载),工具,2025/08/23,深圳市车贴宝科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiezaichan.qinghm&channelId=SHARE
手绘画册,手机(平板可下载),工具,2025/08/23,中山市柒幺柒智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiyaoqi.baddrawphotoshos&channelId=SHARE
便便助手,手机和平板,工具,2025/08/23,广州洪软科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lgh.bianbianhelp.hm&channelId=SHARE
酷酷每日一句,手机和平板,工具,2025/08/23,石家庄七火科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=top.sevenfire.OneSentencePerDay&channelId=SHARE
电工随身算,手机和平板,工具,2025/08/23,南京鸢尾蓝网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.elec&channelId=SHARE
每天打卡,手机和平板,工具,2025/08/23,广州洋海网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ocnet.hm.mtdk&channelId=SHARE
风云备忘录,手机和平板,工具,2025/08/23,厦门风云共创网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fengyun.app26&channelId=SHARE
AloeSend,手机、平板和电脑,工具,2025/08/23,胡正,上架国区，群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=com.aloereed.aloesend&channelId=SHARE
爱投顾,手机(平板可下载),金融理财,2025/08/22,深圳市新兰德证券投资咨询有限公司,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jrj.itougu&channelId=SHARE
超级翻页器,手机(平板可下载),工具,2025/08/22,惠州市优奕科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.youyi.superswiphos&channelId=SHARE
学达优家长端,手机和平板,教育,2025/08/22,上海学达优科技发展有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xuedau.hos.xuedauparent&channelId=SHARE
i上商,手机和平板,商务,2025/08/22,江苏金智教育信息股份有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.wisedu.campus.sbs&channelId=SHARE
智慧监管,手机(平板可下载),工具,2025/08/22,翔创科技（北京）有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.innovationai.breedfinance.huawei&channelId=SHARE
运行管控平台,手机和平板,商务,2025/08/22,陕西大秦无人机技术应用有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yunkong.hap&channelId=SHARE
个人数据视图,手机(平板可下载),工具,2025/08/22,珠海市木霖科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chu.personalviewhos&channelId=SHARE
打字派,手机(平板可下载),工具,2025/08/22,许佳明,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.typing&channelId=SHARE
中国领事,手机(平板可下载),新闻,2025/08/22,中华人民共和国外交部,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gov.mfa.hm&channelId=SHARE
字体大全,手机、平板和电脑,工具,2025/08/22,辽宁鲲鹏科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kunpeng.ziticehm&channelId=SHARE
AI语音通话,手机和平板,工具,2025/08/22,合肥莫寒科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.uwfjjnkn.zzacrht&channelId=SHARE
遇诗,手机和平板,教育,2025/08/22,北京星辰未来信息科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yujianshige.hm&channelId=SHARE
俄文学习助手,手机和平板,教育,2025/08/22,李昊,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.suye.ewxxzs&channelId=SHARE
博车网拍卖,手机(平板可下载),商务,2025/08/22,北京恒泰博车拍卖有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.com.bochewang.boche_flutter&channelId=SHARE
日历Timing,手机(平板可下载),生活服务,2025/08/22,成都墨巴格网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.moba.time&channelId=SHARE
欣师学习中心,手机和平板,教育,2025/08/22,上海欣师教育科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xinshi.school&channelId=SHARE
智能搜题,手机(平板可下载),教育,2025/08/22,柠檬（莒南）信息科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.study.ocrquestion&channelId=SHARE
辛贝她说,手机(平板可下载),社交,2025/08/22,大连辛贝美容有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.simbe.she&channelId=SHARE
字母手势,手机(平板可下载),工具,2025/08/22,惠州市速点科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.sdgesturehos&channelId=SHARE
日常小记,手机和平板,效率,2025/08/22,广州洪软科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lgh.dailyrecord.hm&channelId=SHARE
法定退休年龄计算器,手机(平板可下载),工具,2025/08/22,广州洋海网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ocnet.hm.txnljsq&channelId=SHARE
风云日程清单,手机和平板,效率,2025/08/22,厦门风云共创网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fengyun.app25&channelId=SHARE
悠悠办公,手机和平板,商务,2025/08/22,福建数字空间网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ecan.easyWork&channelId=SHARE
粒子画板,手机(平板可下载),工具,2025/08/22,北京蓝海智潮科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cn.lhiai.particlecanvas&channelId=SHARE
健康管家,手机(平板可下载),工具,2025/08/22,北京蓝海智潮科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cn.lhiai.wellnesstracker&channelId=SHARE
知识卡片库,手机(平板可下载),工具,2025/08/22,北京蓝海智潮科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cn.lhiai.knowledge_cards&channelId=SHARE
oscope示波器,手机和平板,工具,2025/08/22,长沙春觉信息科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cscjapp.oscope.hw&channelId=SHARE
